,X,Y,S_02_ID_x,DNAME_2002,D_02_ID_x,C_02_ID_x,SNAME_2002_x,CNAME_2002_x,2002_CENSU,PROJ_POP_J,Urban,Cvrg2008,FID_1,FID_1_1,SN,DISTRICT,VILLAGE,SOURCE_NAM,FUND_AGENC,YEAR_CONST,SOURCE_TYP,OWNER_TYPE,STATUS,DEPTH,SWL,YIELD,RECEIVED_N,RECEIVED_E,WSSC__EXIS,WSSC_TRAIN,CONTRACTOR,Y_UTM200,DNAME_2010,DNAME_2006,CNAME_2006,SNAME_2006,PNAME_2006,FID_2,D_02_ID_y,PNAME_2002,P_02_ID,YPE,LABEL_P,DTW,DEPTH_clean,uid
10531,32.875,3.261003089,305104,4,305,3051,26,5,10663,13498,0,95,1204,1206,236,2,559,517,31,117,0,4,7,87.67,32.24,0.31,481904,362940,6,16,10,562940,4,4,6,22,97,523,305,92,30510301,3,92,3.5,87.67,10531
7632,32.825,3.411003089,305206,4,305,3052,58,13,11869,15024,0,95,840,841,599,3,641,606,31,117,0,4,7,87.55,25.84,0.58,483974,374965,6,16,10,574965,14,4,12,53,91,409,305,86,30520602,3,86,16,87.55,7632
7633,32.875,3.411003089,305205,4,305,3052,57,13,12667,16035,0,94,840,841,599,3,641,606,31,117,0,4,7,87.55,25.84,0.58,483974,374965,6,16,10,574965,14,4,12,53,91,409,305,86,30520602,3,86,3.5,87.55,7633
7634,32.825,3.361003089,305103,4,305,3051,25,5,12858,16276,0,95,840,841,599,3,641,606,31,117,0,4,7,87.55,25.84,0.58,483974,374965,6,16,10,574965,14,4,12,53,91,409,305,86,30520602,3,86,3.5,87.55,7634
7635,32.875,3.361003089,305105,4,305,3051,27,5,8793,11131,0,95,840,841,599,3,641,606,31,117,0,4,7,87.55,25.84,0.58,483974,374965,6,16,10,574965,14,4,12,53,91,409,305,86,30520602,3,86,16,87.55,7635
4145,32.675,3.611003089,305202,4,305,3052,37,13,20038,25365,0,95,568,569,672,3,498,476,31,117,0,4,7,87.51,13.47,1.18,467468,401186,6,16,10,601186,14,4,12,35,111,291,305,106,30520202,3,106,3.5,87.51,4145
4146,32.725,3.611003089,305202,4,305,3052,37,13,20038,25365,0,95,568,569,672,3,498,476,31,117,0,4,7,87.51,13.47,1.18,467468,401186,6,16,10,601186,14,4,12,35,111,291,305,106,30520202,3,106,3.5,87.51,4146
4147,32.675,3.661003089,305202,4,305,3052,37,13,20038,25365,0,95,568,569,672,3,498,476,31,117,0,4,7,87.51,13.47,1.18,467468,401186,6,16,10,601186,14,4,12,35,111,291,305,106,30520202,3,106,3.5,87.51,4147
4148,32.725,3.661003089,305202,4,305,3052,37,13,20038,25365,0,95,568,569,672,3,498,476,31,117,0,4,7,87.51,13.47,1.18,467468,401186,6,16,10,601186,14,4,12,35,111,291,305,106,30520202,3,106,3.5,87.51,4148
10641,32.875,3.311003089,305101,4,305,3051,21,5,0,0,1,0,1121,1122,645,2,765,357,1,0,0,1,7,87.4,,,488520,369408,6,10,0,569408,4,4,6,24,180,500,305,171,30510502,3,171,3.5,87.4,10641
10642,32.925,3.311003089,305105,4,305,3051,27,5,8793,11131,0,95,1121,1122,645,2,765,357,1,0,0,1,7,87.4,,,488520,369408,6,10,0,569408,4,4,6,24,180,500,305,171,30510502,3,171,3.5,87.4,10642
10643,32.875,3.361003089,305105,4,305,3051,27,5,8793,11131,0,95,1121,1122,645,2,765,357,1,0,0,1,7,87.4,,,488520,369408,6,10,0,569408,4,4,6,24,180,500,305,171,30510502,3,171,16,87.4,10643
10644,32.925,3.361003089,305105,4,305,3051,27,5,8793,11131,0,95,1121,1122,645,2,765,357,1,0,0,1,7,87.4,,,488520,369408,6,10,0,569408,4,4,6,24,180,500,305,171,30510502,3,171,3.5,87.4,10644
3901,32.525,3.461003089,305208,4,305,3052,64,13,12786,16185,0,88,769,770,1495,3,814,755,31,116,0,4,7,87.24,25.93,5.4,448791,386630,6,16,19,586630,14,4,12,59,64,366,305,60,30520802,3,60,3.5,87.24,3901
3902,32.525,3.511003089,305208,4,305,3052,64,13,12786,16185,0,88,769,770,1495,3,814,755,31,116,0,4,7,87.24,25.93,5.4,448791,386630,6,16,19,586630,14,4,12,59,64,366,305,60,30520802,3,60,3.5,87.24,3902
3903,32.575,3.511003089,305208,4,305,3052,64,13,12786,16185,0,88,769,770,1495,3,814,755,31,116,0,4,7,87.24,25.93,5.4,448791,386630,6,16,19,586630,14,4,12,59,64,366,305,60,30520802,3,60,3.5,87.24,3903
4631,33.475,3.561003089,305110,4,305,3051,52,5,22469,28443,0,81,612,613,1188,2,60,51,79,113,0,4,7,86.71,34.23,0.45,554489,393318,6,16,19,593318,4,4,6,48,149,302,305,142,30511006,3,142,16,86.71,4631
4632,33.525,3.561003089,305110,4,305,3051,52,5,22469,28443,0,81,612,613,1188,2,60,51,79,113,0,4,7,86.71,34.23,0.45,554489,393318,6,16,19,593318,4,4,6,48,149,302,305,142,30511006,3,142,16,86.71,4632
4633,33.475,3.511003089,305110,4,305,3051,52,5,22469,28443,0,81,612,613,1188,2,60,51,79,113,0,4,7,86.71,34.23,0.45,554489,393318,6,16,19,593318,4,4,6,48,149,302,305,142,30511006,3,142,16,86.71,4633
4678,33.425,3.411003089,305110,4,305,3051,52,5,22469,28443,0,81,882,883,1160,2,238,824,79,113,0,4,7,86.61,28.36,0.45,551267,376367,1,10,19,576367,4,4,6,48,117,423,305,111,30511004,3,111,3.5,86.61,4678
4679,33.475,3.411003089,305110,4,305,3051,52,5,22469,28443,0,81,882,883,1160,2,238,824,79,113,0,4,7,86.61,28.36,0.45,551267,376367,1,10,19,576367,4,4,6,48,117,423,305,111,30511004,3,111,3.5,86.61,4679
4680,33.475,3.361003089,305110,4,305,3051,52,5,22469,28443,0,81,882,883,1160,2,238,824,79,113,0,4,7,86.61,28.36,0.45,551267,376367,1,10,19,576367,4,4,6,48,117,423,305,111,30511004,3,111,3.5,86.61,4680
3814,32.475,3.461003089,305204,4,305,3052,67,13,8551,10824,0,95,918,919,1560,3,420,419,58,114,0,1,7,86.58,,1.1,444216,377766,6,10,0,577766,14,4,12,62,121,433,305,115,30520402,3,115,3.5,86.58,3814
3815,32.475,3.411003089,305204,4,305,3052,67,13,8551,10824,0,95,918,919,1560,3,420,419,58,114,0,1,7,86.58,,1.1,444216,377766,6,10,0,577766,14,4,12,62,121,433,305,115,30520402,3,115,3.5,86.58,3815
3816,32.525,3.411003089,305204,4,305,3052,67,13,8551,10824,0,95,918,919,1560,3,420,419,58,114,0,1,7,86.58,,1.1,444216,377766,6,10,0,577766,14,4,12,62,121,433,305,115,30520402,3,115,3.5,86.58,3816
10594,32.875,3.311003089,305101,4,305,3051,21,5,0,0,1,0,1251,1252,441,2,502,390,79,113,0,4,7,86,14.61,10,488600,366285,6,16,19,566285,4,4,6,18,240,532,305,231,30510105,3,231,3.5,86,10594
10595,32.925,3.311003089,305105,4,305,3051,27,5,8793,11131,0,95,1251,1252,441,2,502,390,79,113,0,4,7,86,14.61,10,488600,366285,6,16,19,566285,4,4,6,18,240,532,305,231,30510105,3,231,3.5,86,10595
