,X,Y,S_02_ID_x,DNAE_2002,D_02_ID_x,C_02_ID_x,SNAE_2002_x,CNAE_2002_x,2002_CENSU,PROJ_POP_J,Urban,Cvrg2008,FID_1,FID_1_1,SN,DISTRICT,VILLAGE,SOURCE_NA,FUND_AGENC,YEAR_CONST,SOURCE_TYP,OWNER_TYPE,STATUS,DEPTH,SWL,YIELD,RECEIVED_N,RECEIVED_E,WSSC__EXIS,WSSC_TRAIN,CONTRACTOR,Y_UT200,DNAE_2010,DNAE_2006,CNAE_2006,SNAE_2006,PNAE_2006,FID_2,D_02_ID_y,PNAE_2002,P_02_ID,FTYPE,LABEL_P,DTW,DEPTH_clean,uid,geometry
382,33.225,3.261003089,305109,4,305,3051,49,5,16570,20975,0,79,1228,1229,1047,2,777,527,99999,0,0,99999,7,,,,521278,361232,99999,99999,0,561232,4,4,5,44,205,530,305,196,30510903,3,196,3.5,,382,POINT (33.19152906419428 3.26812531016912)
381,33.175,3.261003089,305109,4,305,3051,49,5,16570,20975,0,79,1228,1229,1047,2,777,527,99999,0,0,99999,7,,,,521278,361232,99999,99999,0,561232,4,4,5,44,205,530,305,196,30510903,3,196,16,,381,POINT (33.19152906419428 3.26812531016912)
380,33.175,3.311003089,305109,4,305,3051,49,5,16570,20975,0,79,1228,1229,1047,2,777,527,99999,0,0,99999,7,,,,521278,361232,99999,99999,0,561232,4,4,5,44,205,530,305,196,30510903,3,196,3.5,,380,POINT (33.19152906419428 3.26812531016912)
379,33.225,3.261003089,305109,4,305,3051,49,5,16570,20975,0,79,1227,1228,1046,2,777,727,31,113,0,99999,7,,,,520997,361112,99999,99999,0,561112,4,4,5,44,205,530,305,196,30510903,3,196,3.5,,379,POINT (33.18899951301695 3.267040155158196)
378,33.175,3.261003089,305109,4,305,3051,49,5,16570,20975,0,79,1227,1228,1046,2,777,727,31,113,0,99999,7,,,,520997,361112,99999,99999,0,561112,4,4,5,44,205,530,305,196,30510903,3,196,16,,378,POINT (33.18899951301695 3.267040155158196)
377,33.175,3.311003089,305109,4,305,3051,49,5,16570,20975,0,79,1227,1228,1046,2,777,727,31,113,0,99999,7,,,,520997,361112,99999,99999,0,561112,4,4,5,44,205,530,305,196,30510903,3,196,3.5,,377,POINT (33.18899951301695 3.267040155158196)
376,33.225,3.261003089,305109,4,305,3051,49,5,16570,20975,0,79,1225,1226,1044,2,777,528,99999,0,0,16,7,50.9,29,0.4,521146,360976,99999,4,0,560976,4,4,5,44,205,530,305,196,30510903,3,196,3.5,50.9,376,POINT (33.19034046447352 3.265809513133461)
375,33.175,3.261003089,305109,4,305,3051,49,5,16570,20975,0,79,1225,1226,1044,2,777,528,99999,0,0,16,7,50.9,29,0.4,521146,360976,99999,4,0,560976,4,4,5,44,205,530,305,196,30510903,3,196,16,50.9,375,POINT (33.19034046447352 3.265809513133461)
374,33.175,3.311003089,305109,4,305,3051,49,5,16570,20975,0,79,1225,1226,1044,2,777,528,99999,0,0,16,7,50.9,29,0.4,521146,360976,99999,4,0,560976,4,4,5,44,205,530,305,196,30510903,3,196,3.5,50.9,374,POINT (33.19034046447352 3.265809513133461)
373,33.225,3.261003089,305109,4,305,3051,49,5,16570,20975,0,79,1224,1225,1043,2,777,526,99999,0,0,4,7,,,,521016,360917,5,9,0,560917,4,4,5,44,205,530,305,196,30510903,3,196,3.5,,373,POINT (33.18917020620349 3.265275963844429)
372,33.175,3.261003089,305109,4,305,3051,49,5,16570,20975,0,79,1224,1225,1043,2,777,526,99999,0,0,4,7,,,,521016,360917,5,9,0,560917,4,4,5,44,205,530,305,196,30510903,3,196,16,,372,POINT (33.18917020620349 3.265275963844429)
371,33.175,3.311003089,305109,4,305,3051,49,5,16570,20975,0,79,1224,1225,1043,2,777,526,99999,0,0,4,7,,,,521016,360917,5,9,0,560917,4,4,5,44,205,530,305,196,30510903,3,196,3.5,,371,POINT (33.18917020620349 3.265275963844429)
370,33.225,3.261003089,305109,4,305,3051,49,5,16570,20975,0,79,1223,1224,1042,2,635,99999,99999,66,0,99999,11,,,,360892,521255,99999,99999,0,560892,4,4,5,44,205,530,305,196,30510903,3,196,3.5,,370,POINT (33.19132145339938 3.265049380701637)
369,33.175,3.261003089,305109,4,305,3051,49,5,16570,20975,0,79,1223,1224,1042,2,635,99999,99999,66,0,99999,11,,,,360892,521255,99999,99999,0,560892,4,4,5,44,205,530,305,196,30510903,3,196,16,,369,POINT (33.19132145339938 3.265049380701637)
368,33.175,3.311003089,305109,4,305,3051,49,5,16570,20975,0,79,1223,1224,1042,2,635,99999,99999,66,0,99999,11,,,,360892,521255,99999,99999,0,560892,4,4,5,44,205,530,305,196,30510903,3,196,3.5,,368,POINT (33.19132145339938 3.265049380701637)
367,33.175,3.361003089,305108,4,305,3051,43,5,14103,17852,0,77,1231,1232,1050,2,715,99999,99,76,0,4,7,,,,366810,516943,6,9,0,566810,4,4,5,44,205,530,305,196,30510903,3,196,3.5,,367,POINT (33.15251633345144 3.318596086068292)
366,33.175,3.311003089,305109,4,305,3051,49,5,16570,20975,0,79,1231,1232,1050,2,715,99999,99,76,0,4,7,,,,366810,516943,6,9,0,566810,4,4,5,44,205,530,305,196,30510903,3,196,3.5,,366,POINT (33.15251633345144 3.318596086068292)
365,33.125,3.311003089,305109,4,305,3051,49,5,16570,20975,0,79,1231,1232,1050,2,715,99999,99,76,0,4,7,,,,366810,516943,6,9,0,566810,4,4,5,44,205,530,305,196,30510903,3,196,3.5,,365,POINT (33.15251633345144 3.318596086068292)
364,33.125,3.361003089,305107,4,305,3051,42,5,15060,19064,0,95,991,992,352,2,116,99,8,117,0,4,7,67,38,0.7,509094,370714,6,16,6,570714,4,4,5,38,195,459,305,186,30510705,3,186,16,67,364,POINT (33.08186473612911 3.353923968858828)
363,33.075,3.361003089,305107,4,305,3051,42,5,15060,19064,0,95,991,992,352,2,116,99,8,117,0,4,7,67,38,0.7,509094,370714,6,16,6,570714,4,4,5,38,195,459,305,186,30510705,3,186,16,67,363,POINT (33.08186473612911 3.353923968858828)
362,33.075,3.311003089,305109,4,305,3051,49,5,16570,20975,0,79,991,992,352,2,116,99,8,117,0,4,7,67,38,0.7,509094,370714,6,16,6,570714,4,4,5,38,195,459,305,186,30510705,3,186,3.5,67,362,POINT (33.08186473612911 3.353923968858828)
361,33.025,3.311003089,305102,4,305,3051,22,5,11666,14767,0,95,1181,1183,350,2,638,99999,93,115,0,99999,7,,,,505881,368574,99999,16,0,568574,4,4,5,18,187,521,305,178,30510204,3,178,3.5,,361,POINT (33.05294008869856 3.334565388035323)
360,33.075,3.361003089,305107,4,305,3051,42,5,15060,19064,0,95,1181,1183,350,2,638,99999,93,115,0,99999,7,,,,505881,368574,99999,16,0,568574,4,4,5,18,187,521,305,178,30510204,3,178,16,,360,POINT (33.05294008869856 3.334565388035323)
359,33.025,3.361003089,305107,4,305,3051,42,5,15060,19064,0,95,1181,1183,350,2,638,99999,93,115,0,99999,7,,,,505881,368574,99999,16,0,568574,4,4,5,18,187,521,305,178,30510204,3,178,3.5,,359,POINT (33.05294008869856 3.334565388035323)
358,33.075,3.311003089,305109,4,305,3051,49,5,16570,20975,0,79,1181,1183,350,2,638,99999,93,115,0,99999,7,,,,505881,368574,99999,16,0,568574,4,4,5,18,187,521,305,178,30510204,3,178,3.5,,358,POINT (33.05294008869856 3.334565388035323)
357,33.025,3.311003089,305102,4,305,3051,22,5,11666,14767,0,95,1180,1182,349,2,638,602,42,61,0,99999,7,,,,506008,368571,6,10,0,568571,4,4,5,18,187,521,305,178,30510204,3,178,3.5,,357,POINT (33.05408332633655 3.334538184611044)
356,33.075,3.361003089,305107,4,305,3051,42,5,15060,19064,0,95,1180,1182,349,2,638,602,42,61,0,99999,7,,,,506008,368571,6,10,0,568571,4,4,5,18,187,521,305,178,30510204,3,178,16,,356,POINT (33.05408332633655 3.334538184611044)
355,33.025,3.361003089,305107,4,305,3051,42,5,15060,19064,0,95,1180,1182,349,2,638,602,42,61,0,99999,7,,,,506008,368571,6,10,0,568571,4,4,5,18,187,521,305,178,30510204,3,178,3.5,,355,POINT (33.05408332633655 3.334538184611044)
354,33.075,3.311003089,305109,4,305,3051,49,5,16570,20975,0,79,1180,1182,349,2,638,602,42,61,0,99999,7,,,,506008,368571,6,10,0,568571,4,4,5,18,187,521,305,178,30510204,3,178,3.5,,354,POINT (33.05408332633655 3.334538184611044)
353,33.025,3.311003089,305102,4,305,3051,22,5,11666,14767,0,95,1179,1181,348,2,638,604,8,115,0,4,7,67,33.36,0.4,505929,368567,6,16,6,568567,4,4,5,18,187,521,305,178,30510204,3,178,3.5,67,353,POINT (33.05337217566321 3.334502035584564)
352,33.075,3.361003089,305107,4,305,3051,42,5,15060,19064,0,95,1179,1181,348,2,638,604,8,115,0,4,7,67,33.36,0.4,505929,368567,6,16,6,568567,4,4,5,18,187,521,305,178,30510204,3,178,16,67,352,POINT (33.05337217566321 3.334502035584564)
351,33.025,3.361003089,305107,4,305,3051,42,5,15060,19064,0,95,1179,1181,348,2,638,604,8,115,0,4,7,67,33.36,0.4,505929,368567,6,16,6,568567,4,4,5,18,187,521,305,178,30510204,3,178,3.5,67,351,POINT (33.05337217566321 3.334502035584564)
350,33.075,3.311003089,305109,4,305,3051,49,5,16570,20975,0,79,1179,1181,348,2,638,604,8,115,0,4,7,67,33.36,0.4,505929,368567,6,16,6,568567,4,4,5,18,187,521,305,178,30510204,3,178,3.5,67,350,POINT (33.05337217566321 3.334502035584564)
